xA;yA;zA;xB;yB;zB;xC;yC;zC
0;91.7337;0;-2.43438;91.5433;4.36301;2.43438;91.5433;-4.36301
0;91.7405;0;-2.46926;91.5551;4.34337;2.46926;91.5551;-4.34337
0;91.7473;0;-2.50398;91.567;4.32344;2.50398;91.567;-4.32344
0;91.7541;0;-2.53854;91.5791;4.30324;2.53854;91.5791;-4.30324
0;91.7609;0;-2.57293;91.5914;4.28277;2.57293;91.5914;-4.28277
0;91.7676;0;-2.60716;91.6039;4.26201;2.60716;91.6039;-4.26201
0;91.7743;0;-2.64123;91.6165;4.24099;2.64123;91.6165;-4.24099
0;91.7811;0;-2.67512;91.6293;4.21969;2.67512;91.6293;-4.21969
0;91.7878;0;-2.70884;91.6423;4.19812;2.70884;91.6423;-4.19812
0;91.7945;0;-2.74239;91.6554;4.17628;2.74239;91.6554;-4.17628
0;91.8011;0;-2.77576;91.6686;4.15418;2.77576;91.6686;-4.15418
0;91.8078;0;-2.80896;91.682;4.1318;2.80896;91.682;-4.1318
0;91.8144;0;-2.84197;91.6955;4.10916;2.84197;91.6955;-4.10916
0;91.8211;0;-2.8748;91.7092;4.08626;2.8748;91.7092;-4.08626
0;91.8277;0;-2.90745;91.7229;4.0631;2.90745;91.7229;-4.0631
0;91.8343;0;-2.93991;91.7368;4.03967;2.93991;91.7368;-4.03967
0;91.8409;0;-2.97218;91.7507;4.01599;2.97218;91.7507;-4.01599
0;91.8475;0;-3.00426;91.7648;3.99205;3.00426;91.7648;-3.99205
0;91.8541;0;-3.03615;91.7789;3.96785;3.03615;91.7789;-3.96785
0;91.8607;0;-3.06784;91.7931;3.94339;3.06784;91.7931;-3.94339
0;91.8673;0;-3.09934;91.8074;3.91869;3.09934;91.8074;-3.91869
0;91.8738;0;-3.13063;91.8217;3.89373;3.13063;91.8217;-3.89373
0;91.8804;0;-3.16173;91.8361;3.86852;3.16173;91.8361;-3.86852
0;91.8869;0;-3.19262;91.8506;3.84307;3.19262;91.8506;-3.84307
0;91.8935;0;-3.22331;91.8651;3.81736;3.22331;91.8651;-3.81736
0;91.9;0;-3.25379;91.8796;3.79142;3.25379;91.8796;-3.79142
0;91.9066;0;-3.28406;91.8941;3.76523;3.28406;91.8941;-3.76523
0;91.9131;0;-3.31412;91.9086;3.73879;3.31412;91.9086;-3.73879
0;91.9197;0;-3.34397;91.9232;3.71212;3.34397;91.9232;-3.71212
0;91.9262;0;-3.37361;91.9377;3.68521;3.37361;91.9377;-3.68521
0;91.9328;0;-3.40303;91.9522;3.65806;3.40303;91.9522;-3.65806
0;91.9393;0;-3.43222;91.9668;3.63068;3.43222;91.9668;-3.63068
