t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3,energy,distance
3.82089,-8.0154e-08,-0.000282428,0,-7.0117e-05,-5.23e-05,0,-0.00127703,-0.00457421,0,2.77225,-0.855885,0,-0.00127684,-0.00458089,0,2.77313,-0.856122,0,-0.0337417,0.0014002
3.8837,-1.91304e-07,-0.000287264,0,5.30424e-05,-0.000123496,0,0.00311542,0.00299668,0,-2.12006,1.94673,0,0.0031213,0.00299986,0,-2.07493,1.97196,0,-0.0334729,0.00140725
3.94699,-2.69963e-08,-0.000291787,0,-4.77178e-05,-1.77032e-05,0,-0.00337573,-0.00319895,0,1.88865,-2.22035,0,-0.00338225,-0.00320044,0,1.88524,-2.22783,0,-0.0337291,0.00208348
4.01378,-5.70789e-09,-0.000296835,0,2.31234e-05,-3.754e-06,0,-0.00421852,0.00110777,0,-0.914175,-2.77426,0,-0.0042231,0.00111263,0,-0.9146,-2.77713,0,-0.0335126,0.00211076
4.07806,-2.2538e-07,-0.000301574,0,1.35195e-05,-0.000145022,0,0.0044628,0.000537516,0,-0.530678,2.80807,0,0.00446888,0.000540292,0,-0.538548,2.8131,0,-0.0337149,0.00108964
4.14054,-1.17496e-08,-0.000306223,0,3.27009e-05,-7.72131e-06,0,-0.00397857,0.00168485,0,-1.29428,-2.61589,0,-0.00398524,0.0016844,0,-1.29195,-2.62174,0,-0.0337387,0.0022519
4.20528,-2.20651e-07,-0.000310998,0,2.45377e-05,-0.000142043,0,0.00427555,0.00121405,0,-0.970772,2.69164,0,0.00428212,0.00121278,0,-0.969856,2.69388,0,-0.033741,0.00231187
4.27156,-1.768e-07,-0.000315767,0,-6.04722e-05,-0.000114299,0,0.00254217,-0.00405262,0,2.39104,1.59538,0,0.00254746,-0.00405669,0,2.39155,1.59595,0,-0.0337421,0.00141167
4.33272,-2.04379e-07,-0.000320452,0,4.37227e-05,-0.000131771,0,0.0036341,0.00238824,0,-1.72751,2.28676,0,0.0036367,0.00239439,0,-1.73041,2.28641,0,-0.0337407,0.0022947
4.39415,-2.51282e-08,-0.000324997,0,4.62533e-05,-1.64887e-05,0,-0.00344954,0.00249412,0,-1.82894,-2.27015,0,-0.00345618,0.00249488,0,-1.82912,-2.27409,0,-0.0337413,0.00240741
4.45946,-2.13611e-07,-0.000329809,0,3.45549e-05,-0.000137602,0,0.00399713,0.00181535,0,-1.36973,2.51394,0,0.00400381,0.00181536,0,-1.36314,2.52041,0,-0.0337334,0.00213559
4.52517,-1.55319e-07,-0.000334509,0,-6.77937e-05,-0.000100619,0,0.00169413,-0.00451429,0,2.68076,1.05468,0,0.00169659,-0.0045205,0,2.68088,1.05471,0,-0.0337421,3.47655e-05
4.58886,-6.03977e-08,-0.000339425,0,6.49318e-05,-3.94899e-05,0,-0.00205841,0.00362888,0,-2.56602,-1.38191,0,-0.00205794,0.00363555,0,-2.56927,-1.34321,0,-0.0331029,0.00233499
4.65551,-1.79992e-07,-0.000344344,0,5.90298e-05,-0.000116319,0,0.00266813,0.00330657,0,-2.33851,1.67234,0,0.00267393,0.00330988,0,-2.33001,1.67873,0,-0.0336816,0.00184878
4.71671,-1.48212e-08,-0.000348834,0,3.64535e-05,-9.73666e-06,0,-0.00385783,0.00186908,0,-1.43521,-2.54389,0,-0.00386305,0.00187326,0,-1.44781,-2.53435,0,-0.0337056,0.000676747
4.78072,-2.25664e-07,-0.000353491,0,-1.25326e-05,-0.000145204,0,0.00447411,-0.00113003,0,0.494755,2.81394,0,0.00448002,-0.00113314,0,0.496413,2.8216,0,-0.0337349,0.0013967
4.84195,-1.20862e-07,-0.000358152,0,7.29323e-05,-7.85542e-05,0,0.000330904,0.00412633,0,-2.88227,0.179286,0,0.000334719,0.00413182,0,-2.88576,0.185086,0,-0.0337355,0.00228731
4.90872,-2.14545e-07,-0.000363028,0,3.34321e-05,-0.000138192,0,0.00403407,0.00171278,0,-1.31896,2.53939,0,0.00404075,0.00171259,0,-1.32509,2.54157,0,-0.0337413,0.00218464
4.96967,-6.78718e-08,-0.000367587,0,6.72246e-05,-4.43438e-05,0,-0.00176175,0.00374412,0,-2.66586,-1.14201,0,-0.00176349,0.00375058,0,-2.65077,-1.19923,0,-0.033034,0.000629888
5.0294,-9.93665e-09,-0.000371946,0,3.02038e-05,-6.53208e-06,0,-0.00405028,0.00146716,0,-1.1953,-2.66331,0,-0.0040569,0.00146625,0,-1.19345,-2.66837,0,-0.0337398,0.00237485
5.09491,-1.8639e-07,-0.000376832,0,5.58331e-05,-0.000120379,0,0.00292089,0.00307905,0,-2.20748,1.83301,0,0.0029272,0.00308127,0,-2.20822,1.8392,0,-0.0337347,0.00229147
