t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3,energy,distance
3.479,-7.72194e-08,-0.000257148,0,-6.9523e-05,-5.03995e-05,0,-0.00139348,-0.00451145,0,2.74579,-0.932111,0,-0.00139248,-0.00451806,0,2.75261,-0.9302,0,-0.0337105,0.00201396
3.56826,-1.72578e-07,-0.000263758,0,-6.22137e-05,-0.000111614,0,0.00237651,-0.00410585,0,2.46323,1.48233,0,0.00237921,-0.00411197,0,2.45709,1.49666,0,-0.0337419,0.000621584
3.65751,-2.25824e-07,-0.000270437,0,-1.19392e-05,-0.000145304,0,0.00448027,-0.0010106,0,0.47493,2.81634,0,0.00448651,-0.00101302,0,0.469313,2.82713,0,-0.0337408,0.000931445
3.74676,-2.01362e-07,-0.000277127,0,4.61713e-05,-0.000129864,0,0.00351475,0.00258249,0,-1.82189,2.21793,0,0.00351739,0.00258864,0,-1.82969,2.20437,0,-0.0337045,0.00210591
3.83602,-1.15068e-07,-0.000283769,0,7.31152e-05,-7.48304e-05,0,0.000101685,0.00420928,0,-2.88771,0.0359416,0,0.000105671,0.00421465,0,-2.89479,0.0339277,0,-0.0337361,0.00259803
3.92528,-2.75135e-08,-0.000290329,0,4.81016e-05,-1.80489e-05,0,-0.00335527,0.00264173,0,-1.90632,-2.20623,0,-0.00336181,0.00264313,0,-1.89791,-2.21461,0,-0.0336918,0.00216213
4.01453,-1.55173e-09,-0.000296836,0,-1.21747e-05,-1.01912e-06,0,-0.00438185,-0.00103701,0,0.4856,-2.88394,0,-0.00438848,-0.0010362,0,0.477266,-2.88374,0,-0.0337422,0.00126443
4.10379,-5.65642e-08,-0.000303357,0,-6.35909e-05,-3.69905e-05,0,-0.00220807,-0.00418687,0,2.51477,-1.45263,0,-0.00221145,-0.00419264,0,2.51448,-1.47017,0,-0.0337291,5.53137e-05
4.19301,-1.49986e-07,-0.000309945,0,-6.90758e-05,-9.72132e-05,0,0.00148224,-0.00456733,0,2.72758,0.923605,0,0.0014867,-0.00457232,0,2.73545,0.916459,0,-0.0337192,0.00173325
4.28227,-2.19343e-07,-0.000316611,0,-2.67412e-05,-0.000141224,0,0.00422518,-0.00197381,0,1.04938,2.66698,0,0.00422909,-0.00197923,0,1.06552,2.65377,0,-0.0337315,0.00245437
4.37138,-2.19072e-07,-0.000323285,0,2.71709e-05,-0.000141047,0,0.00421439,0.00136175,0,-1.07397,2.64923,0,0.00421838,0.00136712,0,-1.07491,2.65753,0,-0.0336791,0.002376
4.46063,-1.49685e-07,-0.00032995,0,6.91277e-05,-9.70157e-05,0,0.00147047,0.00393233,0,-2.72964,0.91647,0,0.00147465,0.00393755,0,-2.7375,0.907979,0,-0.0337261,0.00151811
4.54987,-5.58396e-08,-0.000336538,0,6.33081e-05,-3.65263e-05,0,-0.00223689,0.00353111,0,-2.49777,-1.48137,0,-0.00223995,0.00353705,0,-2.50911,-1.47814,0,-0.0336996,0.000214445
4.63913,-1.40366e-09,-0.000343059,0,1.15829e-05,-9.24456e-07,0,-0.00438773,0.000362348,0,-0.460336,-2.88747,0,-0.00439431,0.000361157,0,-0.455726,-2.8877,0,-0.0337286,0.00147581
4.72836,-2.73921e-08,-0.000349565,0,-4.80177e-05,-1.79614e-05,0,-0.00336005,-0.00327514,0,1.89027,-2.21237,0,-0.00336663,-0.00327633,0,1.90733,-2.21539,0,-0.0337401,0.00227815
